setting,analysis_scope,panel_id,method,nSAE,nMAE,nRMSE,Bias,nBias,SAE,MAE,RMSE,value_native,role
Formal-12,post-gold retrospective analysis,gbb_jme,SNDR,0.016286703415086645,0.2076603252013801,0.274226939517837,-0.1465803307357798,-0.016286703415086645,0.1465803307357798,1.8689429268124211,2.4680424556605325,6.770086335930887,corrected primary
Formal-12,retrospective fixed-target evaluation,gbb_jme,Source Mean,0.050617283950617264,0.26510288065843624,0.2951876119711677,-0.4555555555555554,-0.050617283950617264,0.4555555555555554,2.385925925925926,2.6566885077405096,6.46111111111111,primary
Formal-12,retrospective fixed-target evaluation,hanna,BERT lambda=0,0.01734872119215895,0.13046845822374142,0.1623325573100663,-0.023047480419360628,-0.005761870104840157,0.0693948847686358,0.5218738328949657,0.6493302292402652,3.2894525195806392,auxiliary control
Formal-12,retrospective fixed-target evaluation,hanna,DANN,0.007955575571517937,0.12957101184432387,0.16053056340959135,0.0007691572743283951,0.00019228931858209877,0.031822302286071746,0.5182840473772955,0.6421222536383654,3.3132691572743282,primary
Formal-12,retrospective fixed-target evaluation,hanna,DM,0.03317350948068417,0.12309794228514281,0.15669747171198145,0.13269403792273668,0.03317350948068417,0.13269403792273668,0.49239176914057126,0.6267898868479258,3.4451940379227364,primary
Formal-12,post-gold retrospective analysis,hanna,SN-MIPS,0.03740017109106538,,,0.14960068436426152,0.03740017109106538,0.14960068436426152,,,3.462100684364261,corrected primary
Formal-12,post-gold retrospective analysis,hanna,SNDR,0.029095457743692488,0.12272216865101167,0.15589212445136383,0.11638183097476995,0.029095457743692488,0.11638183097476995,0.49088867460404667,0.6235684978054553,3.42888183097477,corrected primary
Formal-12,retrospective fixed-target evaluation,hanna,Source Mean,0.044791666666666674,0.12291666666666667,0.1543542402445799,-0.1791666666666667,-0.044791666666666674,0.1791666666666667,0.4916666666666667,0.6174169609783196,3.1333333333333333,primary
Formal-12,retrospective fixed-target evaluation,openmeva_roc,BERT lambda=0,0.014113454260455663,0.1645837441688626,0.20794393872403796,0.014045617373669236,0.003511404343417309,0.05645381704182265,0.6583349766754504,0.8317757548961519,3.0430456173736693,auxiliary control
Formal-12,retrospective fixed-target evaluation,openmeva_roc,DANN,0.018408098699920345,0.16093034459541214,0.20570343860927007,-0.07363239479968138,-0.018408098699920345,0.07363239479968138,0.6437213783816486,0.8228137544370803,2.9553676052003186,primary
Formal-12,retrospective fixed-target evaluation,openmeva_roc,DM,0.13974539588271048,0.20128589765795704,0.2475198767775361,-0.5589815835308419,-0.13974539588271048,0.5589815835308419,0.8051435906318282,0.9900795071101444,2.470018416469158,primary
Formal-12,post-gold retrospective analysis,openmeva_roc,SN-MIPS,0.143721848408845,,,-0.57488739363538,-0.143721848408845,0.57488739363538,,,2.4541126063646197,corrected primary
Formal-12,post-gold retrospective analysis,openmeva_roc,SNDR,0.14189644347907163,0.20233412119520122,0.24870242466174006,-0.5675857739162865,-0.14189644347907163,0.5675857739162865,0.8093364847808049,0.9948096986469602,2.4614142260837135,corrected primary
Formal-12,retrospective fixed-target evaluation,openmeva_roc,Source Mean,0.16218749999999998,0.21541625,0.25707921474955925,-0.6487499999999999,-0.16218749999999998,0.6487499999999999,0.861665,1.028316858998237,2.38025,primary
Formal-12,retrospective fixed-target evaluation,openmeva_wp,BERT lambda=0,0.00931417825093465,0.1396389849548594,0.17595923112013612,-0.02789057565723792,-0.00697264391430948,0.0372567130037386,0.5585559398194376,0.7038369244805445,3.084109424342762,auxiliary control
Formal-12,retrospective fixed-target evaluation,openmeva_wp,DANN,0.010205307202177086,0.1396636577511501,0.1761460868861345,-0.01307977126880333,-0.0032699428172008327,0.040821228808708344,0.5586546310046004,0.704584347544538,3.0989202287311968,primary
Formal-12,retrospective fixed-target evaluation,openmeva_wp,DM,0.05989003838335055,0.13763233184660487,0.1698866657317711,-0.2395601535334022,-0.05989003838335055,0.2395601535334022,0.5505293273864195,0.6795466629270844,2.872439846466598,primary
Formal-12,post-gold retrospective analysis,openmeva_wp,SN-MIPS,0.0532349980698695,,,-0.212939992279478,-0.0532349980698695,0.212939992279478,,,2.899060007720522,corrected primary
Formal-12,post-gold retrospective analysis,openmeva_wp,SNDR,0.05052131916136051,0.13463216226975958,0.16696700773537823,-0.20208527664544204,-0.05052131916136051,0.20208527664544204,0.5385286490790383,0.6678680309415129,2.9099147233545586,corrected primary
Formal-12,retrospective fixed-target evaluation,openmeva_wp,Source Mean,0.09399999999999997,0.16605999999999999,0.19987996397838378,-0.3759999999999999,-0.09399999999999997,0.3759999999999999,0.6642399999999999,0.7995198559135351,2.736,primary
Formal-12,retrospective fixed-target evaluation,psycsumeval,BERT lambda=0,0.19569522735395625,0.2558138677956754,0.2925361106672625,-0.3913904547079125,-0.19569522735395625,0.3913904547079125,0.5116277355913508,0.585072221334525,1.3833843200668623,auxiliary control
Formal-12,retrospective fixed-target evaluation,psycsumeval,DANN,0.1931655268700895,0.25440646950726215,0.2913192506006981,-0.386331053740179,-0.1931655268700895,0.386331053740179,0.5088129390145243,0.5826385012013962,1.388443721034596,primary
Formal-12,retrospective fixed-target evaluation,psycsumeval,DM,0.13200473021202716,0.19917007013967947,0.2599206946372885,-0.2640094604240543,-0.13200473021202716,0.2640094604240543,0.39834014027935893,0.519841389274577,1.5107653143507207,primary
Formal-12,post-gold retrospective analysis,psycsumeval,SN-MIPS,0.1198145624783274,,,-0.2396291249566548,-0.1198145624783274,0.2396291249566548,,,1.53514564981812,corrected primary
Formal-12,post-gold retrospective analysis,psycsumeval,SNDR,0.0820768642264748,0.17306519478708204,0.23311336099025357,-0.1641537284529496,-0.0820768642264748,0.1641537284529496,0.3461303895741641,0.46622672198050713,1.6106210463218253,corrected primary
Formal-12,retrospective fixed-target evaluation,psycsumeval,Source Mean,0.08708708708708712,0.22235749262776291,0.2262937615670875,-0.17417417417417425,-0.08708708708708712,0.17417417417417425,0.44471498525552583,0.452587523134175,1.6006006006006006,primary
Formal-12,retrospective fixed-target evaluation,rwanda,BERT lambda=0,0.029208411705146764,0.16677134853213596,0.25354420800285243,0.11683364682058706,0.029208411705146764,0.11683364682058706,0.6670853941285438,1.0141768320114097,4.294699259468808,auxiliary control
Formal-12,retrospective fixed-target evaluation,rwanda,DANN,0.035647704204562425,0.1667286399695127,0.255489348562333,0.1425908168182497,0.035647704204562425,0.1425908168182497,0.6669145598780508,1.021957394249332,4.320456429466471,primary
Formal-12,retrospective fixed-target evaluation,rwanda,DM,0.07895289023275698,0.15176237124015415,0.2509627131140542,0.3158115609310279,0.07895289023275698,0.3158115609310279,0.6070494849606166,1.0038508524562169,4.49367717357925,primary
Formal-12,post-gold retrospective analysis,rwanda,SN-MIPS,0.10477961141554644,,,0.41911844566218576,0.10477961141554644,0.41911844566218576,,,4.596984058310407,corrected primary
Formal-12,post-gold retrospective analysis,rwanda,SNDR,0.08982936652488456,0.15230059643429966,0.254656937346517,0.35931746609953824,0.08982936652488456,0.35931746609953824,0.6092023857371986,1.018627749386068,4.537183078747759,corrected primary
Formal-12,retrospective fixed-target evaluation,rwanda,Source Mean,0.027050395256916993,0.18695808401943478,0.25145724777457745,0.10820158102766797,0.027050395256916993,0.10820158102766797,0.7478323360777391,1.0058289910983098,4.286067193675889,primary
Formal-12,retrospective fixed-target evaluation,summeval,BERT lambda=0,0.031794183041248404,0.06682256542036276,0.11623176921431999,-0.12717673216499362,-0.031794183041248404,0.12717673216499362,0.26729026168145104,0.46492707685727996,4.7694899345016735,auxiliary control
Formal-12,retrospective fixed-target evaluation,summeval,DANN,0.0287205274178642,0.06537491312794115,0.12337204992477845,-0.1148821096714568,-0.0287205274178642,0.1148821096714568,0.2614996525117646,0.4934881996991138,4.78178455699521,primary
Formal-12,retrospective fixed-target evaluation,summeval,DM,0.05543360003191681,0.08202763247849602,0.14160511387968008,-0.22173440012766724,-0.05543360003191681,0.22173440012766724,0.3281105299139841,0.5664204555187203,4.674932266539,primary
Formal-12,post-gold retrospective analysis,summeval,SN-MIPS,0.06693058491454691,,,-0.26772233965818765,-0.06693058491454691,0.26772233965818765,,,4.62894432700848,corrected primary
Formal-12,post-gold retrospective analysis,summeval,SNDR,0.020364333940403972,0.029980325345887956,0.10774816026561235,0.08145733576161589,0.020364333940403972,0.08145733576161589,0.11992130138355182,0.4309926410624494,4.978124002428284,corrected primary
Formal-12,retrospective fixed-target evaluation,summeval,Source Mean,0.06300000000000006,0.09045333333333333,0.11859817780125366,-0.2520000000000002,-0.06300000000000006,0.2520000000000002,0.3618133333333333,0.47439271120501464,4.644666666666667,primary
Formal-12,retrospective fixed-target evaluation,warmth_substance,BERT lambda=0,0.03981403964234228,0.20460526972638346,0.2626287895234174,-0.1423057438034984,-0.0355764359508746,0.15925615856936912,0.8184210789055338,1.0505151580936696,3.821979970482216,auxiliary control
Formal-12,retrospective fixed-target evaluation,warmth_substance,DANN,0.04152764744021357,0.20533654142031088,0.2633185112802204,-0.1588524354690759,-0.039713108867268976,0.16611058976085427,0.8213461656812435,1.0532740451208815,3.8054332788166385,primary
Formal-12,retrospective fixed-target evaluation,warmth_substance,DM,0.057845365923651824,0.20687412767017813,0.25602415527914374,-0.2313814636946073,-0.057845365923651824,0.2313814636946073,0.8274965106807125,1.024096621116575,3.732904250591107,primary
Formal-12,post-gold retrospective analysis,warmth_substance,SN-MIPS,0.035232445445449755,,,-0.14092978178179902,-0.035232445445449755,0.14092978178179902,,,3.8233559325039153,corrected primary
Formal-12,post-gold retrospective analysis,warmth_substance,SNDR,0.07665071027122361,0.21357298829402063,0.2611171643739885,-0.30660284108489444,-0.07665071027122361,0.30660284108489444,0.8542919531760825,1.044468657495954,3.65768287320082,corrected primary
Formal-12,retrospective fixed-target evaluation,warmth_substance,Source Mean,0.06117724867724872,0.21952947845804985,0.2631789026131488,-0.24470899470899488,-0.06117724867724872,0.24470899470899488,0.8781179138321994,1.0527156104525952,3.7195767195767195,primary
Formal-12,retrospective fixed-target evaluation,wellbeing_advice_study1,BERT lambda=0,0.12947641032508453,0.14805842849398776,0.1666915420996337,-0.7768584619505073,-0.12947641032508453,0.7768584619505073,0.8883505709639267,1.0001492525978022,5.164518004578134,auxiliary control
Formal-12,retrospective fixed-target evaluation,wellbeing_advice_study1,DANN,0.12046098062725326,0.14125293222386817,0.16001299080217377,-0.7227658837635196,-0.12046098062725326,0.7227658837635196,0.8475175933432091,0.9600779448130425,5.2186105827651215,primary
Formal-12,retrospective fixed-target evaluation,wellbeing_advice_study1,DM,0.0957319455465574,0.11739825551313428,0.1431438716807693,-0.5743916732793444,-0.0957319455465574,0.5743916732793444,0.7043895330788056,0.8588632300846158,5.366984793249297,primary
Formal-12,post-gold retrospective analysis,wellbeing_advice_study1,SN-MIPS,0.07482715680530039,,,-0.4489629408318023,-0.07482715680530039,0.4489629408318023,,,5.492413525696839,corrected primary
Formal-12,post-gold retrospective analysis,wellbeing_advice_study1,SNDR,0.09458636883312721,0.11651445924082476,0.1422186740724457,-0.5675182129987633,-0.09458636883312721,0.5675182129987633,0.6990867554449486,0.8533120444346741,5.373858253529878,corrected primary
Formal-12,retrospective fixed-target evaluation,wellbeing_advice_study1,Source Mean,0.2141808910359635,0.2141808910359634,0.23375425291589155,-1.285085346215781,-0.2141808910359635,1.285085346215781,1.2850853462157805,1.4025255174953493,4.65629112031286,primary
Formal-12,retrospective fixed-target evaluation,wmt20_ende,BERT lambda=0,0.0543476790945826,0.12184411553256395,0.16317461966541766,0.3260860745674956,0.0543476790945826,0.3260860745674956,0.7310646931953837,0.9790477179925059,3.9833799942983297,auxiliary control
Formal-12,retrospective fixed-target evaluation,wmt20_ende,DANN,0.052327738135649914,0.12079819484200578,0.16170163539038354,0.31396642881389947,0.052327738135649914,0.31396642881389947,0.7247891690520346,0.9702098123423012,3.9712603485447335,primary
Formal-12,retrospective fixed-target evaluation,wmt20_ende,DM,0.06023429324036974,0.12434937233950084,0.1619131038203888,0.3614057594422184,0.06023429324036974,0.3614057594422184,0.7460962340370051,0.9714786229223327,4.018699679173053,primary
Formal-12,post-gold retrospective analysis,wmt20_ende,SN-MIPS,0.06381341923485966,,,0.3828805154091579,0.06381341923485966,0.3828805154091579,,,4.040174435139992,corrected primary
Formal-12,post-gold retrospective analysis,wmt20_ende,SNDR,0.06056401583483436,0.12445156063853526,0.16203624921057738,0.36338409500900615,0.06056401583483436,0.36338409500900615,0.7467093638312114,0.9722174952634642,4.020678014739841,corrected primary
Formal-12,retrospective fixed-target evaluation,wmt20_ende,Source Mean,0.0667085013395996,0.1788760648472149,0.22668205001655437,0.4002510080375976,0.0667085013395996,0.4002510080375976,1.0732563890832894,1.3600923000993261,4.057544927768432,primary
Formal-12,retrospective fixed-target evaluation,wmt20_zhen,BERT lambda=0,0.011355878725965626,0.0731829307019488,0.0972492853994622,0.06813527235579375,0.011355878725965626,0.06813527235579375,0.4390975842116928,0.5834957123967733,4.0589039866894625,auxiliary control
Formal-12,retrospective fixed-target evaluation,wmt20_zhen,DANN,0.01123719498664888,0.073190006887549,0.09732571156583898,0.06742316991989328,0.01123719498664888,0.06742316991989328,0.43914004132529394,0.583954269395034,4.058191884253562,primary
Formal-12,retrospective fixed-target evaluation,wmt20_zhen,DM,0.008395504875293835,0.07965341796431678,0.10198084404475168,0.05037302925176301,0.008395504875293835,0.05037302925176301,0.4779205077859006,0.6118850642685101,4.041141743585431,primary
Formal-12,post-gold retrospective analysis,wmt20_zhen,SN-MIPS,0.009652342191247443,,,0.057914053147484656,0.009652342191247443,0.057914053147484656,,,4.048682767481154,corrected primary
Formal-12,post-gold retrospective analysis,wmt20_zhen,SNDR,0.010629235697209046,0.0797101126840452,0.1021886782934507,0.06377541418325428,0.010629235697209046,0.06377541418325428,0.47826067610427114,0.6131320697607042,4.054544128516922,corrected primary
Formal-12,retrospective fixed-target evaluation,wmt20_zhen,Source Mean,0.010359553914438102,0.13388669588691088,0.164378258571637,0.06215732348662861,0.010359553914438102,0.06215732348662861,0.8033201753214653,0.9862695514298219,4.052926037820297,primary
